State Name,Year,Dist Code,State Code,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha),subdivision,YEAR,JUN,JUL,AUG,SEP
andhra pradesh,1966,49,1,218.2727273,292.1818182,1345.728182,0.227272727,0.054545455,128.4172727,48.35454545,25.46363636,550.5881818,43.93636364,20.66363636,457.0881818,92.29090909,46.12727273,525.9054545,40.90909091,23.25454545,614.15,0.818181818,0.645454545,822.7272727,24.36363636,21.27272727,915.9290909,0,0,0,1.463636364,0.463636364,265.1509091,7.909090909,3.545454545,493.7036364,44.46272727,6.967272727,149.9445455,78.72727273,63,847.5654545,11.38181818,3.872727273,328.9309091,0.027272727,0,0,0.568181818,0.074545455,38.34272727,4.2,0.5,104.3436364,0,0,0,0,0,0,0,0,0,98.97090909,67.44727273,648.2381818,7.372727273,60.70909091,7930.327273,20,1.336363636,37.57272727,16.08727273,4.612727273,20.69909091,0.017272727,0.892727273,11.68818182,andhra pradesh,1966,72.33333333,197.5666667,145.9666667,162.2666667
andhra pradesh,1967,49,1,220.1818182,302.0909091,1337.355455,0.236363636,0.045454545,34.63272727,42.26363636,20.74545455,508.8027273,46.13636364,24.88181818,550.8645455,88.4,45.62727273,540.7018182,34.27272727,21.72727273,649.2409091,0.9,1.027272727,1193.181818,22.18181818,21.90909091,933.4936364,0,0,0,1.963636364,0.563636364,286.8672727,7.545454545,4.272727273,587.3436364,44.58272727,6.663636364,141.9763636,95.36363636,75.90909091,805.2645455,9.509090909,2.454545455,262.4263636,0.027272727,0,0,0.664545455,0.075454545,37.56727273,3.863636364,0.536363636,95.85909091,0,0,0,0,0,0,0,0,0,113.2009091,78.80363636,629.0809091,8.254545455,70.05454545,8201.141818,20.25454545,1.372727273,71.58090909,16.04272727,3.754545455,19.79727273,0.022727273,0.96,10.83818182,andhra pradesh,1967,99.4,205.1,104.9333333,134.9
andhra pradesh,1968,49,1,203.5272727,250.3636364,1212.896364,0.327272727,0.090909091,146.8318182,50.98181818,21.53636364,448.6554545,55.04545455,27.73636364,513.6054545,106.0272727,49.27272727,493.3836364,33.93636364,17.81818182,540.1309091,0.881818182,0.836363636,737.7345455,22.04545455,16.18181818,638.1727273,0,0,0,2.136363636,0.627272727,311.4563636,6.827272727,3.636363636,544.4581818,54.88545455,7.715454545,132.1718182,82.98181818,65.56363636,858.2063636,7.236363636,1.609090909,228.6527273,0.009090909,0,0,0.59,0.080909091,49.84818182,3.063636364,0.363636364,89.57272727,0,0,0,0,0,0,0,0,0,97.76909091,67.26363636,631.7272727,11.03636364,88.44545455,7784.411818,18.23636364,1.027272727,38.09272727,16.74181818,3.760909091,20.50272727,0.012727273,0.899090909,9.487272727,andhra pradesh,1968,61.36666667,129.6666667,28.9,177.4666667
andhra pradesh,1969,49,1,227.1181818,280.5090909,1268.754545,0.318181818,0.081818182,174.2827273,45.80909091,20.99090909,530.9272727,44.36363636,18.08181818,400.9172727,90.17272727,39.07272727,461.6845455,33.31818182,19.01818182,628.65,0.9,1.109090909,1024.040909,21.73636364,19.29090909,941.9863636,0,0,0,1.972727273,0.563636364,239.9872727,6.763636364,1.927272727,282.4227273,51.01727273,6.641818182,126.3072727,94.34545455,74.08181818,817.32,10.05454545,2.972727273,277.3127273,0.009090909,0,0,0.610909091,0.086363636,43.48545455,3.572727273,0.618181818,114.0336364,0,0,0,0,0,0,0,0,0,110.8781818,77.75909091,649.6918182,11.69090909,83.41818182,7049.737273,20.33636364,0.954545455,47.64909091,17.04363636,3.933636364,20.97454545,0.013636364,1.02,11.61636364,andhra pradesh,1969,78.23333333,168.8,137.0333333,122.5666667
andhra pradesh,1970,49,1,225.7454545,312.2454545,1361.693636,0.245454545,0.209090909,549.5863636,41.96363636,15.06363636,367.0736364,42.29090909,14.78181818,360.4263636,84.25454545,29.84545455,375.42,31.54545455,19.99090909,656.5090909,0.8,1.027272727,1242.105455,19.11818182,17.43636364,928.7627273,0,0,0,1.454545455,0.645454545,408.2281818,7.263636364,2.4,346.9072727,48.31363636,18.61636364,344.7890909,108.4363636,82.6,844.6018182,11.10909091,3.272727273,285.2645455,0.018181818,0,0,0.771818182,0.37,131.5454545,3.790909091,0.454545455,90.11,0,0,0,0,0,0,0,0,0,125.6790909,86.69727273,660.3936364,8.645454545,68.80909091,7612.960909,19.47272727,1.109090909,46.82909091,17.12545455,3.626363636,20.75272727,0.011818182,1.006363636,10.20727273,andhra pradesh,1970,125.8333333,121.4333333,242.3,140.2
andhra pradesh,1971,49,1,215.2727273,350.3363636,1637.841818,0.236363636,0.145454545,258.9527273,38.62727273,18.16363636,447.4372727,44.27272727,20.52727273,458.3627273,82.9,38.69090909,505.1281818,27.06363636,17.28181818,643.78,0.8,0.872727273,1020.463636,21.15454545,22.59090909,1070.109091,0,0,0,1.190909091,0.509090909,327.8236364,6.118181818,1.263636364,207.1772727,45.36636364,15.96,324.3309091,108.1545455,88.98181818,909.8327273,13.80909091,2.263636364,153.7563636,0.036363636,0.009090909,30.30272727,0.997272727,0.25,74.49636364,2.927272727,0.336363636,89.03545455,0,0,0,0,0,0,0,0,0,128.4618182,91.84090909,647.9981818,8.518181818,84.94545455,9655.886364,21.17272727,1.736363636,98.47545455,16.84818182,3.193636364,20.04090909,0.024545455,0.867272727,8.32,andhra pradesh,1971,77.3,70.63333333,131.1333333,122.6333333
andhra pradesh,1972,49,1,206.1818182,320.3181818,1523.512727,0.336363636,0.2,341.9918182,41.39090909,15.38181818,389.9609091,37.39090909,17.47272727,419.6145455,78.78181818,32.85454545,432.4372727,24.83636364,13.83636364,580.4863636,0.972727273,1.081818182,1031.872727,18.53636364,20.27272727,1063.595455,0,0,0,1.272727273,0.318181818,120.0036364,5.836363636,1.381818182,231.8618182,48.22545455,16.66363636,324.13,90.1,75.09090909,871.2427273,9.209090909,1.318181818,143.3636364,0.009090909,0,0,0.9,0.263636364,92.59454545,2.6,0.354545455,109.6736364,0,0,0,0,0,0,0,0,0,107.1227273,77.02727273,611.9518182,9.727272727,84.53636364,8548.142727,18.01818182,1.263636364,74.29363636,17.49090909,3.502727273,20.99090909,0.013636364,0.992727273,8.030909091,andhra pradesh,1972,115.9,89.8,52,117.9666667
andhra pradesh,1973,49,1,212.1181818,351.1636364,1611.992727,0.318181818,0.190909091,199.8563636,37.11818182,13.98181818,398.2981818,51.38181818,27.81818182,543.1118182,88.5,41.8,500.5181818,30.66363636,24.5,867.3581818,0.9,1.345454545,1459.729091,18.39090909,21.84545455,1177.677273,0,0,0,1.036363636,0.418181818,243.3972727,6.945454545,1.163636364,209.0936364,50.61545455,18.34909091,347.9936364,99.84545455,100.7181818,1069.53,10.92727273,2.527272727,220.4790909,0.027272727,0.009090909,90.90909091,0.772727273,0.209090909,92.73,4.245454545,0.7,172.1118182,0,0,0,0,0,0,0,0,0,118.7409091,104.1636364,784.2554545,11.59090909,97.54545455,8076.100909,32.38181818,4.581818182,145.4936364,17.72454545,4.183636364,21.90909091,0.007272727,0.980909091,9.618181818,andhra pradesh,1973,80.26666667,125.8333333,206,117.1666667
andhra pradesh,1974,49,1,227.1545455,375.8,1579.006364,0.563636364,0.327272727,287.4454545,37.20909091,16.68181818,479.4863636,49.37272727,35.85454545,767.2036364,86.58181818,52.53636364,643.8018182,29.81818182,19.64545455,698.8681818,1.209090909,1.945454545,1451.901818,20.94545455,24.76363636,1173.155455,0,0,0,1.545454545,0.645454545,323.2454545,6.609090909,1.245454545,183.3927273,48.78272727,18.93454545,357.9409091,107.8363636,104.7545455,1014.465455,10.89090909,2.872727273,242.8245455,0.027272727,0,0,0.863636364,0.218181818,79.93,5.3,0.954545455,135.1063636,0,0,0,0,0,0,0,0,0,127.2736364,108.8,786.9590909,12.31818182,90.76363636,6333.703636,27.39090909,6.927272727,205.3781818,16.55636364,4.944545455,21.50272727,0.011818182,1.007272727,8.97,andhra pradesh,1974,85.5,98.06666667,113.8333333,183.8666667
andhra pradesh,1975,49,1,240.9,396.6818182,1614.084545,0.436363636,0.309090909,554.4754545,37.66363636,11.99090909,326.6172727,41.33636364,22.42727273,619.1636364,79,34.41818182,478.4963636,32.86363636,24.00909091,759.9690909,1.1,1.781818182,1641.445455,22.20909091,28.50909091,1299.288182,0,0,0,2.254545455,1,441.9454545,7.327272727,1.445454545,221.1563636,48.71363636,18.63272727,347.9863636,100.3454545,84.41818182,866.9290909,8.218181818,1.963636364,219.9736364,0.027272727,0.009090909,45.45454545,0.790909091,0.327272727,115.6281818,2.618181818,0.327272727,63.46090909,0,0,0,0,0,0,0,0,0,116.5354545,87.04545455,651.2872727,10.77272727,77.9,7405.45,15.19090909,3.3,133.6763636,16.90181818,4.593636364,21.49363636,0.007272727,0.848181818,11.30636364,andhra pradesh,1975,103.6333333,185.6,154.3333333,219.4333333
